Equipment Name,Type,Flowrate,Pressure,Temperature
Equipment_367,Pump,322.06,12.94,178.55
Equipment_368,Reactor,287.49,18.76,101.42
Equipment_369,Pump,300.85,5.88,309.21
Equipment_370,Reactor,490.25,12.61,69.25
Equipment_371,Pump,397.93,7.17,161.44
Equipment_372,HeatExchanger,97.82,5.12,246.77
Equipment_373,Condenser,400.29,2.61,190.85
Equipment_374,Reactor,126.74,12.79,140.7
Equipment_375,Separator,251.31,17.76,374.1
Equipment_376,Valve,144.71,7.68,375.84
Equipment_377,Pump,360.31,11.5,195.63
Equipment_378,Pump,444.79,13.2,187.81
Equipment_379,Reactor,180.66,8.88,157.58
Equipment_380,Valve,86.9,18.16,349.51
Equipment_381,Valve,184.32,7.89,248.77
Equipment_382,HeatExchanger,352.56,3.38,81.33
Equipment_383,Separator,197.94,3.74,348.66
Equipment_384,HeatExchanger,175.15,17.93,237.21
Equipment_385,HeatExchanger,133.0,19.77,195.46
Equipment_386,HeatExchanger,273.88,6.49,168.25
Equipment_387,HeatExchanger,174.18,3.73,84.8
Equipment_388,HeatExchanger,378.95,10.16,384.85
Equipment_389,Condenser,84.48,14.48,309.44
Equipment_390,Valve,348.81,12.64,96.12
Equipment_391,HeatExchanger,156.9,19.07,228.94
Equipment_392,Valve,270.18,16.54,244.45
Equipment_393,Valve,178.74,17.51,108.76
Equipment_394,Compressor,375.25,11.29,199.53
Equipment_395,Condenser,475.39,7.22,276.01
Equipment_396,HeatExchanger,462.68,14.33,149.4
Equipment_397,Pump,312.54,9.34,166.06
Equipment_398,Reactor,258.17,6.47,92.71
Equipment_399,Separator,418.24,3.89,194.63
Equipment_400,Pump,357.5,11.03,254.35
Equipment_401,Condenser,132.6,12.29,90.78
Equipment_402,Reactor,419.41,11.81,265.17
Equipment_403,Condenser,243.0,3.21,189.23
Equipment_404,Valve,135.04,11.83,287.36
Equipment_405,Reactor,176.81,4.2,160.19
Equipment_406,Valve,170.39,13.61,248.97
Equipment_407,Pump,283.64,9.16,264.48
Equipment_408,Pump,155.47,17.13,291.68
Equipment_409,Reactor,105.6,15.79,314.93
Equipment_410,Reactor,105.66,14.76,97.72
Equipment_411,HeatExchanger,312.47,14.31,387.83
Equipment_412,Condenser,380.64,11.65,345.28
Equipment_413,HeatExchanger,194.69,2.16,246.81
Equipment_414,Condenser,65.59,13.45,361.63
Equipment_415,HeatExchanger,107.25,9.87,183.85
Equipment_416,Valve,461.61,9.92,62.0
Equipment_417,Reactor,272.09,8.2,304.46
Equipment_418,Pump,254.11,18.65,380.17
Equipment_419,Condenser,67.12,5.74,106.65
Equipment_420,Condenser,377.89,7.02,275.36
Equipment_421,Pump,287.63,19.3,334.7
Equipment_422,HeatExchanger,140.94,16.39,366.77
Equipment_423,Condenser,99.53,1.27,146.78
Equipment_424,Separator,222.52,18.22,95.06
Equipment_425,Valve,426.72,5.31,136.75
Equipment_426,Reactor,439.38,14.41,252.2
Equipment_427,Pump,321.28,11.51,371.55
Equipment_428,Reactor,377.39,11.2,253.89
Equipment_429,Separator,101.82,14.64,371.87
Equipment_430,Condenser,314.66,4.94,319.51
Equipment_431,Condenser,350.13,4.02,259.44
Equipment_432,Separator,140.32,13.39,57.63
Equipment_433,Pump,446.07,6.52,166.58
Equipment_434,Valve,137.75,19.51,70.11
Equipment_435,Compressor,191.06,9.58,162.78
Equipment_436,Pump,329.25,3.12,71.82
Equipment_437,Compressor,337.26,14.03,108.74
Equipment_438,Separator,364.72,6.82,193.74
Equipment_439,HeatExchanger,100.41,3.82,230.21
Equipment_440,Compressor,432.26,9.03,126.0
Equipment_441,Valve,289.78,19.32,306.4
Equipment_442,HeatExchanger,262.09,8.82,256.63
Equipment_443,Compressor,491.49,7.6,292.12
Equipment_444,Separator,383.17,9.45,306.47
Equipment_445,HeatExchanger,103.1,1.23,304.42
Equipment_446,Separator,390.44,3.53,377.68
Equipment_447,Compressor,92.86,17.14,133.03
Equipment_448,Separator,62.36,19.58,144.55
Equipment_449,Valve,231.63,4.0,82.97
Equipment_450,Compressor,497.11,11.17,257.41
Equipment_451,Compressor,128.7,19.36,188.31
Equipment_452,Compressor,352.69,3.98,223.67
Equipment_453,Pump,128.03,4.54,109.44
Equipment_454,Pump,376.15,18.61,277.17
Equipment_455,Pump,277.41,14.41,266.66
Equipment_456,Valve,355.99,3.89,142.67
Equipment_457,HeatExchanger,141.29,8.48,212.9
Equipment_458,Separator,385.53,2.07,363.01
Equipment_459,Condenser,498.03,9.22,320.72
Equipment_460,Compressor,349.54,15.78,129.43
Equipment_461,Separator,272.07,11.53,357.6
Equipment_462,Compressor,465.43,13.3,73.56
Equipment_463,Valve,57.13,7.21,194.87
Equipment_464,Compressor,378.47,4.07,78.04
Equipment_465,Pump,449.94,1.25,373.47
Equipment_466,Condenser,77.75,16.6,64.25
Equipment_467,Reactor,252.53,13.1,102.93
Equipment_468,Compressor,142.12,5.36,370.26
Equipment_469,Separator,304.93,8.95,253.76
Equipment_470,Pump,342.29,16.23,328.32
Equipment_471,Reactor,186.18,11.24,55.74
Equipment_472,Condenser,256.99,6.7,196.68
Equipment_473,Reactor,175.7,6.08,394.56
Equipment_474,Pump,216.23,5.13,252.94
Equipment_475,HeatExchanger,121.79,16.65,347.39
Equipment_476,HeatExchanger,448.5,12.06,387.25
Equipment_477,Reactor,54.5,14.47,289.76
Equipment_478,Valve,447.08,17.34,164.67
Equipment_479,Separator,307.26,19.75,158.01
Equipment_480,Separator,199.25,5.74,74.95
Equipment_481,Reactor,375.38,4.44,199.72
Equipment_482,Compressor,278.49,9.78,370.39
Equipment_483,Compressor,274.6,1.67,217.32
Equipment_484,Separator,99.56,16.04,368.85
Equipment_485,Separator,225.28,17.79,336.0
Equipment_486,HeatExchanger,158.48,14.03,394.47
Equipment_487,Valve,57.06,6.09,381.69
Equipment_488,Pump,212.04,3.34,297.27
Equipment_489,Compressor,90.42,8.26,354.93
Equipment_490,Separator,165.57,16.83,311.83
Equipment_491,HeatExchanger,91.63,7.61,296.19
Equipment_492,Condenser,95.42,1.65,300.45
Equipment_493,HeatExchanger,139.56,6.21,302.37
Equipment_494,Compressor,499.93,19.81,182.8
Equipment_495,Compressor,50.98,13.86,198.25
Equipment_496,HeatExchanger,337.4,18.12,152.92
Equipment_497,Pump,113.56,15.72,101.89
Equipment_498,Reactor,464.28,11.25,210.46
Equipment_499,Compressor,92.13,3.83,364.98
Equipment_500,HeatExchanger,479.78,7.62,277.94
Equipment_501,Separator,324.92,12.09,69.66
Equipment_502,HeatExchanger,50.57,17.54,333.92
Equipment_503,Valve,452.3,6.1,377.39
Equipment_504,Reactor,284.77,3.3,340.3
Equipment_505,Condenser,168.2,11.62,304.64
Equipment_506,Pump,395.28,4.35,102.54
Equipment_507,Condenser,467.0,12.6,172.15
Equipment_508,Reactor,267.66,6.01,247.85
Equipment_509,Reactor,192.0,5.39,76.9
Equipment_510,Reactor,405.03,8.58,87.19
Equipment_511,Condenser,356.8,12.27,376.99
Equipment_512,Separator,449.94,11.36,295.94
Equipment_513,Reactor,361.63,5.65,146.28
Equipment_514,HeatExchanger,159.59,17.93,164.58
Equipment_515,Condenser,469.25,3.09,184.55
Equipment_516,Reactor,97.18,1.75,76.27
Equipment_517,HeatExchanger,170.57,12.45,308.71
Equipment_518,Separator,284.09,3.34,111.89
Equipment_519,Valve,304.58,10.59,331.79
Equipment_520,Separator,56.89,19.08,346.06
Equipment_521,Reactor,401.26,14.27,273.45
Equipment_522,Condenser,212.72,12.73,319.45
Equipment_523,Compressor,232.89,11.92,110.14
Equipment_524,Reactor,414.22,4.41,251.58
Equipment_525,Compressor,220.68,9.22,286.88
Equipment_526,HeatExchanger,71.25,7.51,281.55
Equipment_527,Valve,129.4,19.11,91.05
Equipment_528,Pump,480.16,5.6,170.53
Equipment_529,Separator,81.68,9.96,163.76
Equipment_530,Valve,209.72,18.82,250.38
Equipment_531,Reactor,276.43,15.99,317.83
Equipment_532,Compressor,271.98,19.33,249.71
Equipment_533,Separator,51.78,12.56,314.19
Equipment_534,Compressor,275.52,7.34,84.64
Equipment_535,Condenser,222.7,16.71,357.35
Equipment_536,Compressor,487.44,6.54,237.82
Equipment_537,Condenser,121.62,4.13,63.12
Equipment_538,HeatExchanger,209.37,14.42,275.12
Equipment_539,Separator,238.77,13.14,231.07
Equipment_540,Separator,225.81,17.7,127.13
Equipment_541,Pump,349.62,19.28,317.55
Equipment_542,Reactor,146.98,17.29,376.75
Equipment_543,Condenser,149.48,2.14,162.94
Equipment_544,Pump,378.14,13.63,222.87
Equipment_545,Compressor,275.13,15.91,94.86
Equipment_546,Compressor,236.82,19.66,375.43
Equipment_547,Pump,126.14,8.12,161.58
Equipment_548,Separator,134.39,4.23,118.17
Equipment_549,Compressor,54.75,17.21,217.45
Equipment_550,HeatExchanger,91.14,7.03,65.15
Equipment_551,HeatExchanger,300.58,12.37,138.49
Equipment_552,Pump,451.34,8.41,73.68
Equipment_553,Condenser,179.22,8.64,94.58
Equipment_554,Condenser,197.49,14.92,89.26
Equipment_555,Pump,102.02,7.87,355.35
Equipment_556,Condenser,224.88,14.17,375.65
Equipment_557,Separator,66.75,1.27,216.08
Equipment_558,Separator,462.92,7.17,270.65
Equipment_559,Condenser,352.9,7.06,293.57
Equipment_560,HeatExchanger,495.84,15.23,186.96
Equipment_561,Condenser,447.27,6.98,179.57
Equipment_562,Separator,262.85,13.03,286.45
Equipment_563,Valve,283.86,14.08,181.85
Equipment_564,Reactor,135.76,13.51,253.35
Equipment_565,Compressor,257.92,12.46,230.32
Equipment_566,Valve,456.36,8.86,233.56
Equipment_567,Condenser,72.88,8.09,340.28
Equipment_568,HeatExchanger,438.6,11.73,296.42
Equipment_569,Pump,203.43,2.21,386.24
Equipment_570,Condenser,454.78,17.64,326.84
Equipment_571,HeatExchanger,473.4,16.68,101.03
Equipment_572,Reactor,351.89,7.58,308.47
Equipment_573,Condenser,348.99,11.77,282.98
Equipment_574,Separator,253.74,18.71,276.12
Equipment_575,Pump,425.99,6.16,218.26
Equipment_576,HeatExchanger,482.73,15.11,71.86
Equipment_577,HeatExchanger,398.79,2.57,383.02
Equipment_578,HeatExchanger,329.87,10.94,348.17
Equipment_579,Reactor,323.06,17.8,220.38
Equipment_580,Condenser,432.26,11.48,105.5
